# Logfile created on 2014-01-25 13:59:12 +0100 by logger.rb/44203
I, [2014-01-25T13:59:17.085565 #7344]  INFO -- : Jim Java made a bet of 97 (call) and is left with 583 chips. The pot now contains 524 chips.
I, [2014-01-25T13:59:17.120547 #7344]  INFO -- : community card 7 of Spades
I, [2014-01-25T13:59:17.186474 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 893 chips. The pot now contains 524 chips.
I, [2014-01-25T13:59:17.226021 #7344]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 503 chips. The pot now contains 604 chips.
I, [2014-01-25T13:59:17.296420 #7344]  INFO -- : Korda György made a bet of 80 (call) and is left with 813 chips. The pot now contains 684 chips.
I, [2014-01-25T13:59:17.326749 #7344]  INFO -- : Jim Java showed 5 of Spades,7 of Clubs,7 of Spades,9 of Hearts,10 of Spades,King of Clubs,Ace of Diamonds making a pair
I, [2014-01-25T13:59:17.352073 #7344]  INFO -- : Korda György showed 2 of Diamonds,7 of Spades,7 of Clubs,9 of Hearts,10 of Spades,King of Clubs,King of Spades making a two pairs
I, [2014-01-25T13:59:17.383389 #7344]  INFO -- : Korda György won 684
I, [2014-01-25T13:59:17.445379 #7344]  INFO -- : Jim Java has 503 chips
I, [2014-01-25T13:59:17.445718 #7344]  INFO -- : Korda György has 1497 chips
I, [2014-01-25T13:59:17.447242 #7344]  INFO -- : Jim Java got hole card 7 of Spades (7, Spades)
I, [2014-01-25T13:59:17.482809 #7344]  INFO -- : Korda György got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T13:59:17.484509 #7344]  INFO -- : Jim Java got hole card 8 of Hearts (8, Hearts)
I, [2014-01-25T13:59:17.517839 #7344]  INFO -- : Korda György got hole card 3 of Hearts (3, Hearts)
I, [2014-01-25T13:59:17.551780 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 463 chips. The pot now contains 40 chips.
I, [2014-01-25T13:59:17.583618 #7344]  INFO -- : Korda György made a bet of 80 (raise) and is left with 1417 chips. The pot now contains 120 chips.
I, [2014-01-25T13:59:17.618916 #7344]  INFO -- : Jim Java made a bet of 40 (call) and is left with 423 chips. The pot now contains 160 chips.
I, [2014-01-25T13:59:17.685738 #7344]  INFO -- : Korda György made a bet of 44 (raise) and is left with 1373 chips. The pot now contains 204 chips.
I, [2014-01-25T13:59:17.723184 #7344]  INFO -- : Jim Java made a bet of 44 (call) and is left with 379 chips. The pot now contains 248 chips.
I, [2014-01-25T13:59:17.759039 #7344]  INFO -- : community card 6 of Spades
I, [2014-01-25T13:59:17.796893 #7344]  INFO -- : community card 7 of Hearts
I, [2014-01-25T13:59:17.833314 #7344]  INFO -- : community card Ace of Hearts
I, [2014-01-25T13:59:17.868127 #7344]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 299 chips. The pot now contains 328 chips.
I, [2014-01-25T13:59:17.937117 #7344]  INFO -- : Korda György made a bet of 80 (call) and is left with 1293 chips. The pot now contains 408 chips.
I, [2014-01-25T13:59:17.964239 #7344]  INFO -- : community card King of Spades
I, [2014-01-25T13:59:17.992525 #7344]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 219 chips. The pot now contains 488 chips.
I, [2014-01-25T13:59:18.058927 #7344]  INFO -- : Korda György made a bet of 80 (call) and is left with 1213 chips. The pot now contains 568 chips.
I, [2014-01-25T13:59:18.091580 #7344]  INFO -- : community card 5 of Diamonds
I, [2014-01-25T13:59:18.123199 #7344]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 139 chips. The pot now contains 648 chips.
I, [2014-01-25T13:59:18.192268 #7344]  INFO -- : Korda György made a bet of 80 (call) and is left with 1133 chips. The pot now contains 728 chips.
I, [2014-01-25T13:59:18.230346 #7344]  INFO -- : Jim Java showed 5 of Diamonds,6 of Spades,7 of Hearts,7 of Spades,8 of Hearts,King of Spades,Ace of Hearts making a pair
I, [2014-01-25T13:59:18.263669 #7344]  INFO -- : Jim Java won 728
I, [2014-01-25T13:59:18.326406 #7344]  INFO -- : Jim Java has 867 chips
I, [2014-01-25T13:59:18.326739 #7344]  INFO -- : Korda György has 1133 chips
I, [2014-01-25T13:59:18.357872 #7344]  INFO -- : Korda György got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T13:59:18.359168 #7344]  INFO -- : Jim Java got hole card 7 of Spades (7, Spades)
I, [2014-01-25T13:59:18.394202 #7344]  INFO -- : Korda György got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T13:59:18.395301 #7344]  INFO -- : Jim Java got hole card 8 of Hearts (8, Hearts)
I, [2014-01-25T13:59:18.422428 #7344]  INFO -- : Korda György made a bet of 80 (raise) and is left with 1053 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:18.451149 #7344]  INFO -- : Jim Java made a bet of 160 (raise) and is left with 707 chips. The pot now contains 240 chips.
I, [2014-01-25T13:59:18.515668 #7344]  INFO -- : Korda György made a bet of 80 (call) and is left with 973 chips. The pot now contains 320 chips.
I, [2014-01-25T13:59:18.543265 #7344]  INFO -- : Jim Java made a bet of 0 (check) and is left with 707 chips. The pot now contains 320 chips.
I, [2014-01-25T13:59:18.574441 #7344]  INFO -- : community card 2 of Diamonds
I, [2014-01-25T13:59:18.601692 #7344]  INFO -- : community card 5 of Diamonds
I, [2014-01-25T13:59:18.635708 #7344]  INFO -- : community card Queen of Spades
I, [2014-01-25T13:59:18.709220 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 973 chips. The pot now contains 320 chips.
I, [2014-01-25T13:59:18.741631 #7344]  INFO -- : Jim Java made a bet of 0 (check) and is left with 707 chips. The pot now contains 320 chips.
I, [2014-01-25T13:59:18.775674 #7344]  INFO -- : community card 8 of Diamonds
I, [2014-01-25T13:59:18.842391 #7344]  INFO -- : Korda György made a bet of 177 (raise) and is left with 796 chips. The pot now contains 497 chips.
I, [2014-01-25T13:59:18.875756 #7344]  INFO -- : Jim Java made a bet of 354 (raise) and is left with 353 chips. The pot now contains 851 chips.
I, [2014-01-25T13:59:18.937595 #7344]  INFO -- : Korda György made a bet of 177 (call) and is left with 619 chips. The pot now contains 1028 chips.
I, [2014-01-25T13:59:18.967907 #7344]  INFO -- : community card 3 of Diamonds
I, [2014-01-25T13:59:19.035438 #7344]  INFO -- : Korda György made a bet of 172 (raise) and is left with 447 chips. The pot now contains 1200 chips.
I, [2014-01-25T13:59:19.069425 #7344]  INFO -- : Jim Java made a bet of 344 (raise) and is left with 9 chips. The pot now contains 1544 chips.
I, [2014-01-25T13:59:19.139950 #7344]  INFO -- : Korda György made a bet of 172 (call) and is left with 275 chips. The pot now contains 1716 chips.
I, [2014-01-25T13:59:19.178673 #7344]  INFO -- : Jim Java showed 2 of Diamonds,3 of Diamonds,5 of Diamonds,7 of Spades,8 of Diamonds,8 of Hearts,Queen of Spades making a pair
I, [2014-01-25T13:59:19.211545 #7344]  INFO -- : Korda György showed 2 of Diamonds,3 of Diamonds,5 of Diamonds,8 of Diamonds,Jack of Diamonds,Jack of Hearts,Queen of Spades making a flush
