# Logfile created on 2014-01-25 12:02:26 +0100 by logger.rb/44203
I, [2014-01-25T12:10:08.223332 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 1020 chips. The pot now contains 110 chips.
I, [2014-01-25T12:10:18.594430 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 880 chips. The pot now contains 130 chips.
I, [2014-01-25T12:10:23.720202 #4310]  INFO -- : community card 8 of Hearts
I, [2014-01-25T12:10:29.279380 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 1000 chips. The pot now contains 150 chips.
I, [2014-01-25T12:10:39.504007 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 860 chips. The pot now contains 170 chips.
I, [2014-01-25T12:10:44.763712 #4310]  INFO -- : Jim Java showed 2 of Spades,2 of Clubs,2 of Hearts,4 of Clubs,8 of Hearts,8 of Clubs,9 of Spades making a full house
I, [2014-01-25T12:10:49.873947 #4310]  INFO -- : Jim Java won 170
I, [2014-01-25T12:11:06.460558 #4310]  INFO -- : guest42 has 970 chips
I, [2014-01-25T12:11:06.460942 #4310]  INFO -- : Jim Java has 1170 chips
I, [2014-01-25T12:11:06.461114 #4310]  INFO -- : Korda György has 860 chips
I, [2014-01-25T12:11:08.482511 #4310]  INFO -- : Jim Java got hole card 3 of Spades (3, Spades)
I, [2014-01-25T12:11:13.781628 #4310]  INFO -- : Korda György got hole card 3 of Diamonds (3, Diamonds)
I, [2014-01-25T12:11:13.787834 #4310]  INFO -- : guest42 got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T12:11:13.845160 #4310]  INFO -- : Jim Java got hole card 4 of Clubs (4, Clubs)
I, [2014-01-25T12:11:19.530225 #4310]  INFO -- : Korda György got hole card Queen of Hearts (12, Hearts)
I, [2014-01-25T12:11:19.542516 #4310]  INFO -- : guest42 got hole card 4 of Spades (4, Spades)
I, [2014-01-25T12:11:24.825908 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 1150 chips. The pot now contains 20 chips.
I, [2014-01-25T12:11:29.979020 #4310]  INFO -- : Korda György made a bet of 40 (raise) and is left with 820 chips. The pot now contains 60 chips.
I, [2014-01-25T12:11:35.227410 #4310]  INFO -- : guest42 made a bet of 0 (fold) and is left with 970 chips. The pot now contains 60 chips.
I, [2014-01-25T12:11:40.466829 #4310]  INFO -- : Jim Java made a bet of 20 (call) and is left with 1130 chips. The pot now contains 80 chips.
I, [2014-01-25T12:11:50.904377 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 820 chips. The pot now contains 80 chips.
I, [2014-01-25T12:11:56.011904 #4310]  INFO -- : community card 10 of Hearts
I, [2014-01-25T12:12:02.401185 #4310]  INFO -- : community card Ace of Clubs
