# Logfile created on 2014-01-25 16:41:09 +0100 by logger.rb/44203
I, [2014-01-25T16:41:12.215118 #12199]  INFO -- : devill made a bet of 0 (fold) and is left with 930 chips. The pot now contains 60 chips.
I, [2014-01-25T16:41:12.243856 #12199]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 940 chips. The pot now contains 60 chips.
I, [2014-01-25T16:41:12.316897 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1070 chips. The pot now contains 60 chips.
I, [2014-01-25T16:41:12.351203 #12199]  INFO -- : Korda György won 60
I, [2014-01-25T16:41:12.444739 #12199]  INFO -- : devill has 930 chips
I, [2014-01-25T16:41:12.444864 #12199]  INFO -- : Jim Java has 940 chips
I, [2014-01-25T16:41:12.444935 #12199]  INFO -- : Korda György has 1130 chips
I, [2014-01-25T16:41:12.474190 #12199]  INFO -- : Korda György got hole card Queen of Diamonds (12, Diamonds)
I, [2014-01-25T16:41:12.474943 #12199]  INFO -- : devill got hole card 3 of Hearts (3, Hearts)
I, [2014-01-25T16:41:12.476693 #12199]  INFO -- : Jim Java got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T16:41:12.504249 #12199]  INFO -- : Korda György got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T16:41:12.505131 #12199]  INFO -- : devill got hole card Ace of Hearts (14, Hearts)
I, [2014-01-25T16:41:12.506370 #12199]  INFO -- : Jim Java got hole card 9 of Diamonds (9, Diamonds)
I, [2014-01-25T16:41:12.540329 #12199]  INFO -- : Korda György made a bet of 20 (raise) and is left with 1110 chips. The pot now contains 20 chips.
I, [2014-01-25T16:41:12.576178 #12199]  INFO -- : devill made a bet of 40 (raise) and is left with 890 chips. The pot now contains 60 chips.
I, [2014-01-25T16:41:12.608332 #12199]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 940 chips. The pot now contains 60 chips.
I, [2014-01-25T16:41:12.675301 #12199]  INFO -- : Korda György made a bet of 20 (call) and is left with 1090 chips. The pot now contains 80 chips.
I, [2014-01-25T16:41:12.703943 #12199]  INFO -- : devill made a bet of 0 (check) and is left with 890 chips. The pot now contains 80 chips.
I, [2014-01-25T16:41:12.728394 #12199]  INFO -- : community card Jack of Hearts
I, [2014-01-25T16:41:12.756383 #12199]  INFO -- : community card 6 of Clubs
I, [2014-01-25T16:41:12.787157 #12199]  INFO -- : community card 10 of Hearts
I, [2014-01-25T16:41:12.852041 #12199]  INFO -- : Korda György made a bet of 50 (raise) and is left with 1040 chips. The pot now contains 130 chips.
I, [2014-01-25T16:41:12.885170 #12199]  INFO -- : devill made a bet of 50 (call) and is left with 840 chips. The pot now contains 180 chips.
I, [2014-01-25T16:41:12.911359 #12199]  INFO -- : community card King of Spades
I, [2014-01-25T16:41:12.982298 #12199]  INFO -- : Korda György made a bet of 50 (raise) and is left with 990 chips. The pot now contains 230 chips.
I, [2014-01-25T16:41:13.021757 #12199]  INFO -- : devill made a bet of 50 (call) and is left with 790 chips. The pot now contains 280 chips.
I, [2014-01-25T16:41:13.061296 #12199]  INFO -- : community card 7 of Clubs
I, [2014-01-25T16:41:13.129948 #12199]  INFO -- : Korda György made a bet of 50 (raise) and is left with 940 chips. The pot now contains 330 chips.
I, [2014-01-25T16:41:13.165124 #12199]  INFO -- : devill made a bet of 50 (call) and is left with 740 chips. The pot now contains 380 chips.
I, [2014-01-25T16:41:13.196734 #12199]  INFO -- : Korda György showed 6 of Clubs,7 of Clubs,10 of Hearts,Jack of Hearts,Queen of Clubs,Queen of Diamonds,King of Spades making a pair
I, [2014-01-25T16:41:13.221325 #12199]  INFO -- : Korda György won 380
I, [2014-01-25T16:41:13.307042 #12199]  INFO -- : devill has 740 chips
I, [2014-01-25T16:41:13.307152 #12199]  INFO -- : Jim Java has 940 chips
I, [2014-01-25T16:41:13.307197 #12199]  INFO -- : Korda György has 1320 chips
I, [2014-01-25T16:41:13.307939 #12199]  INFO -- : devill got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T16:41:13.308714 #12199]  INFO -- : Jim Java got hole card 10 of Spades (10, Spades)
I, [2014-01-25T16:41:13.344031 #12199]  INFO -- : Korda György got hole card 7 of Spades (7, Spades)
I, [2014-01-25T16:41:13.345592 #12199]  INFO -- : devill got hole card Queen of Diamonds (12, Diamonds)
I, [2014-01-25T16:41:13.347137 #12199]  INFO -- : Jim Java got hole card 8 of Spades (8, Spades)
I, [2014-01-25T16:41:13.381320 #12199]  INFO -- : Korda György got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T16:41:13.415284 #12199]  INFO -- : devill made a bet of 20 (raise) and is left with 720 chips. The pot now contains 20 chips.
I, [2014-01-25T16:41:13.449913 #12199]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 900 chips. The pot now contains 60 chips.
I, [2014-01-25T16:41:13.515068 #12199]  INFO -- : Korda György made a bet of 40 (call) and is left with 1280 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:13.550593 #12199]  INFO -- : devill made a bet of 0 (fold) and is left with 720 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:13.585184 #12199]  INFO -- : Jim Java made a bet of 0 (check) and is left with 900 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:13.619406 #12199]  INFO -- : community card King of Spades
I, [2014-01-25T16:41:13.652411 #12199]  INFO -- : community card 3 of Hearts
I, [2014-01-25T16:41:13.678894 #12199]  INFO -- : community card 10 of Clubs
I, [2014-01-25T16:41:13.708298 #12199]  INFO -- : Jim Java made a bet of 0 (check) and is left with 900 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:13.790218 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1280 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:13.814490 #12199]  INFO -- : community card 4 of Clubs
I, [2014-01-25T16:41:13.849971 #12199]  INFO -- : Jim Java made a bet of 0 (check) and is left with 900 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:13.921814 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1280 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:13.956831 #12199]  INFO -- : community card Queen of Hearts
I, [2014-01-25T16:41:13.993577 #12199]  INFO -- : Jim Java made a bet of 0 (check) and is left with 900 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:14.076001 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1280 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:14.115938 #12199]  INFO -- : Jim Java showed 3 of Hearts,4 of Clubs,8 of Spades,10 of Spades,10 of Clubs,Queen of Hearts,King of Spades making a pair
I, [2014-01-25T16:41:14.152136 #12199]  INFO -- : Jim Java won 100
I, [2014-01-25T16:41:14.244223 #12199]  INFO -- : devill has 720 chips
I, [2014-01-25T16:41:14.244330 #12199]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T16:41:14.244375 #12199]  INFO -- : Korda György has 1280 chips
I, [2014-01-25T16:41:14.245279 #12199]  INFO -- : Jim Java got hole card 7 of Diamonds (7, Diamonds)
I, [2014-01-25T16:41:14.280197 #12199]  INFO -- : Korda György got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T16:41:14.281683 #12199]  INFO -- : devill got hole card 9 of Diamonds (9, Diamonds)
I, [2014-01-25T16:41:14.283007 #12199]  INFO -- : Jim Java got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T16:41:14.315169 #12199]  INFO -- : Korda György got hole card King of Clubs (13, Clubs)
I, [2014-01-25T16:41:14.317285 #12199]  INFO -- : devill got hole card 4 of Diamonds (4, Diamonds)
I, [2014-01-25T16:41:14.352010 #12199]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 960 chips. The pot now contains 40 chips.
I, [2014-01-25T16:41:14.388442 #12199]  INFO -- : Korda György made a bet of 80 (raise) and is left with 1200 chips. The pot now contains 120 chips.
I, [2014-01-25T16:41:14.424153 #12199]  INFO -- : devill made a bet of 80 (call) and is left with 640 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:14.458926 #12199]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 960 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:14.530672 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1200 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:14.563579 #12199]  INFO -- : community card 7 of Spades
I, [2014-01-25T16:41:14.598249 #12199]  INFO -- : community card Ace of Hearts
I, [2014-01-25T16:41:14.632364 #12199]  INFO -- : community card 6 of Diamonds
I, [2014-01-25T16:41:14.712738 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1200 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:14.747578 #12199]  INFO -- : devill made a bet of 80 (raise) and is left with 560 chips. The pot now contains 280 chips.
I, [2014-01-25T16:41:14.816707 #12199]  INFO -- : Korda György made a bet of 80 (call) and is left with 1120 chips. The pot now contains 360 chips.
I, [2014-01-25T16:41:14.853945 #12199]  INFO -- : community card 9 of Hearts
I, [2014-01-25T16:41:14.918066 #12199]  INFO -- : Korda György made a bet of 90 (raise) and is left with 1030 chips. The pot now contains 450 chips.
I, [2014-01-25T16:41:14.952563 #12199]  INFO -- : devill made a bet of 90 (call) and is left with 470 chips. The pot now contains 540 chips.
I, [2014-01-25T16:41:14.988573 #12199]  INFO -- : community card 3 of Hearts
I, [2014-01-25T16:41:15.076190 #12199]  INFO -- : Korda György made a bet of 90 (raise) and is left with 940 chips. The pot now contains 630 chips.
I, [2014-01-25T16:41:15.114904 #12199]  INFO -- : devill made a bet of 90 (call) and is left with 380 chips. The pot now contains 720 chips.
I, [2014-01-25T16:41:15.155102 #12199]  INFO -- : Korda György showed 3 of Hearts,6 of Diamonds,7 of Spades,9 of Hearts,9 of Clubs,King of Clubs,Ace of Hearts making a pair
I, [2014-01-25T16:41:15.191453 #12199]  INFO -- : Korda György won 720
I, [2014-01-25T16:41:15.274188 #12199]  INFO -- : devill has 380 chips
I, [2014-01-25T16:41:15.274495 #12199]  INFO -- : Jim Java has 960 chips
I, [2014-01-25T16:41:15.274663 #12199]  INFO -- : Korda György has 1660 chips
I, [2014-01-25T16:41:15.300724 #12199]  INFO -- : Korda György got hole card King of Hearts (13, Hearts)
I, [2014-01-25T16:41:15.301915 #12199]  INFO -- : devill got hole card Ace of Diamonds (14, Diamonds)
I, [2014-01-25T16:41:15.302957 #12199]  INFO -- : Jim Java got hole card 3 of Diamonds (3, Diamonds)
I, [2014-01-25T16:41:15.328735 #12199]  INFO -- : Korda György got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T16:41:15.330026 #12199]  INFO -- : devill got hole card 7 of Spades (7, Spades)
I, [2014-01-25T16:41:15.331338 #12199]  INFO -- : Jim Java got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T16:41:15.365401 #12199]  INFO -- : Korda György made a bet of 40 (raise) and is left with 1620 chips. The pot now contains 40 chips.
I, [2014-01-25T16:41:15.397265 #12199]  INFO -- : devill made a bet of 80 (raise) and is left with 300 chips. The pot now contains 120 chips.
I, [2014-01-25T16:41:15.431973 #12199]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 960 chips. The pot now contains 120 chips.
I, [2014-01-25T16:41:15.506288 #12199]  INFO -- : Korda György made a bet of 40 (call) and is left with 1580 chips. The pot now contains 160 chips.
I, [2014-01-25T16:41:15.542962 #12199]  INFO -- : devill made a bet of 0 (check) and is left with 300 chips. The pot now contains 160 chips.
I, [2014-01-25T16:41:15.574973 #12199]  INFO -- : community card 2 of Clubs
I, [2014-01-25T16:41:15.609883 #12199]  INFO -- : community card 8 of Hearts
I, [2014-01-25T16:41:15.646373 #12199]  INFO -- : community card 4 of Hearts
I, [2014-01-25T16:41:15.722283 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1580 chips. The pot now contains 160 chips.
I, [2014-01-25T16:41:15.759196 #12199]  INFO -- : devill made a bet of 80 (raise) and is left with 220 chips. The pot now contains 240 chips.
I, [2014-01-25T16:41:15.833998 #12199]  INFO -- : Korda György made a bet of 80 (call) and is left with 1500 chips. The pot now contains 320 chips.
I, [2014-01-25T16:41:15.875451 #12199]  INFO -- : community card 2 of Diamonds
I, [2014-01-25T16:41:15.961457 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1500 chips. The pot now contains 320 chips.
I, [2014-01-25T16:41:15.997540 #12199]  INFO -- : devill made a bet of 80 (raise) and is left with 140 chips. The pot now contains 400 chips.
I, [2014-01-25T16:41:16.083539 #12199]  INFO -- : Korda György made a bet of 80 (call) and is left with 1420 chips. The pot now contains 480 chips.
I, [2014-01-25T16:41:16.119695 #12199]  INFO -- : community card 9 of Diamonds
I, [2014-01-25T16:41:16.203878 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1420 chips. The pot now contains 480 chips.
I, [2014-01-25T16:41:16.235993 #12199]  INFO -- : devill made a bet of 80 (raise) and is left with 60 chips. The pot now contains 560 chips.
I, [2014-01-25T16:41:16.324536 #12199]  INFO -- : Korda György made a bet of 0 (fold) and is left with 1420 chips. The pot now contains 560 chips.
I, [2014-01-25T16:41:16.356239 #12199]  INFO -- : devill won 560
I, [2014-01-25T16:41:16.439868 #12199]  INFO -- : devill has 620 chips
I, [2014-01-25T16:41:16.440008 #12199]  INFO -- : Jim Java has 960 chips
I, [2014-01-25T16:41:16.440054 #12199]  INFO -- : Korda György has 1420 chips
I, [2014-01-25T16:41:16.440792 #12199]  INFO -- : devill got hole card King of Spades (13, Spades)
I, [2014-01-25T16:41:16.442394 #12199]  INFO -- : Jim Java got hole card 3 of Diamonds (3, Diamonds)
I, [2014-01-25T16:41:16.472392 #12199]  INFO -- : Korda György got hole card King of Hearts (13, Hearts)
I, [2014-01-25T16:41:16.473664 #12199]  INFO -- : devill got hole card 3 of Clubs (3, Clubs)
