# Logfile created on 2014-01-25 17:54:55 +0100 by logger.rb/44203
I, [2014-01-25T17:54:59.494641 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1060 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.531476 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 950 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.564938 #13576]  INFO -- : community card 6 of Clubs
I, [2014-01-25T17:54:59.594251 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1060 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.623204 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 950 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.655657 #13576]  INFO -- : devill_4242 showed 3 of Spades,5 of Hearts,6 of Clubs,8 of Spades,10 of Diamonds,Jack of Clubs,Queen of Spades making a high card
I, [2014-01-25T17:54:59.690088 #13576]  INFO -- : Jim Java showed 2 of Diamonds,3 of Spades,5 of Hearts,5 of Clubs,6 of Clubs,8 of Spades,Queen of Spades making a pair
I, [2014-01-25T17:54:59.727947 #13576]  INFO -- : Jim Java won 50
I, [2014-01-25T17:54:59.820262 #13576]  INFO -- : devill_4242 has 1060 chips
I, [2014-01-25T17:54:59.820378 #13576]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T17:54:59.820433 #13576]  INFO -- : Korda György has 940 chips
I, [2014-01-25T17:54:59.821245 #13576]  INFO -- : devill_4242 got hole card Ace of Spades (14, Spades)
I, [2014-01-25T17:54:59.822116 #13576]  INFO -- : Jim Java got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T17:54:59.857005 #13576]  INFO -- : Korda György got hole card 9 of Diamonds (9, Diamonds)
I, [2014-01-25T17:54:59.858506 #13576]  INFO -- : devill_4242 got hole card 8 of Spades (8, Spades)
I, [2014-01-25T17:54:59.859977 #13576]  INFO -- : Jim Java got hole card Ace of Diamonds (14, Diamonds)
I, [2014-01-25T17:54:59.892637 #13576]  INFO -- : Korda György got hole card 10 of Hearts (10, Hearts)
I, [2014-01-25T17:54:59.927265 #13576]  INFO -- : devill_4242 made a bet of 10 (raise) and is left with 1050 chips. The pot now contains 10 chips.
I, [2014-01-25T17:54:59.961368 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:00.026730 #13576]  INFO -- : Korda György made a bet of 0 (fold) and is left with 940 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:00.062954 #13576]  INFO -- : devill_4242 made a bet of 10 (call) and is left with 1040 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:00.097208 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 960 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:00.134317 #13576]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 1020 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:00.166532 #13576]  INFO -- : community card 9 of Clubs
I, [2014-01-25T17:55:00.195819 #13576]  INFO -- : community card King of Hearts
I, [2014-01-25T17:55:00.227103 #13576]  INFO -- : community card 3 of Hearts
I, [2014-01-25T17:55:00.261132 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1020 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:00.289130 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 960 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:00.316377 #13576]  INFO -- : community card 3 of Clubs
I, [2014-01-25T17:55:00.348980 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1020 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:00.383714 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 960 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:00.419406 #13576]  INFO -- : community card Jack of Clubs
I, [2014-01-25T17:55:00.454898 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1020 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:00.493000 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 960 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:00.530992 #13576]  INFO -- : devill_4242 showed 3 of Hearts,3 of Clubs,8 of Spades,9 of Clubs,Jack of Clubs,King of Hearts,Ace of Spades making a pair
I, [2014-01-25T17:55:00.564654 #13576]  INFO -- : Jim Java showed 3 of Hearts,3 of Clubs,9 of Clubs,10 of Clubs,Jack of Clubs,King of Hearts,Ace of Diamonds making a pair
I, [2014-01-25T17:55:00.600603 #13576]  INFO -- : devill_4242 won 40
I, [2014-01-25T17:55:00.635877 #13576]  INFO -- : Jim Java won 40
I, [2014-01-25T17:55:00.740393 #13576]  INFO -- : devill_4242 has 1060 chips
I, [2014-01-25T17:55:00.740707 #13576]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T17:55:00.740886 #13576]  INFO -- : Korda György has 940 chips
I, [2014-01-25T17:55:00.741988 #13576]  INFO -- : Jim Java got hole card 5 of Spades (5, Spades)
I, [2014-01-25T17:55:00.779550 #13576]  INFO -- : Korda György got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T17:55:00.780817 #13576]  INFO -- : devill_4242 got hole card 8 of Hearts (8, Hearts)
I, [2014-01-25T17:55:00.782365 #13576]  INFO -- : Jim Java got hole card 7 of Diamonds (7, Diamonds)
I, [2014-01-25T17:55:00.813341 #13576]  INFO -- : Korda György got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T17:55:00.815084 #13576]  INFO -- : devill_4242 got hole card 6 of Hearts (6, Hearts)
I, [2014-01-25T17:55:00.852643 #13576]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T17:55:00.882937 #13576]  INFO -- : Korda György made a bet of 20 (raise) and is left with 920 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:00.916551 #13576]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 1040 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:00.945251 #13576]  INFO -- : Jim Java made a bet of 10 (call) and is left with 980 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:01.021182 #13576]  INFO -- : Korda György made a bet of 0 (check) and is left with 920 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:01.063826 #13576]  INFO -- : community card Jack of Hearts
I, [2014-01-25T17:55:01.095380 #13576]  INFO -- : community card Jack of Spades
I, [2014-01-25T17:55:01.129055 #13576]  INFO -- : community card Jack of Diamonds
